AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,OssAccX,OsAccY,OsAccZ
-7776,-436,1896,-11597,5188,2988,-103,-250,-52,-7776,-436,1896
-9108,-1388,2400,-11703,4460,6530,-81,-255,-57,-8442,-912,2148
-9184,-1824,2520,-9442,1808,8018,-81,-255,-57,-8689,-1216,2272
-8636,-2068,2528,-9988,-529,9902,-75,-256,-85,-8676,-1429,2336
-8604,-2448,2592,-12630,-1698,13436,-75,-256,-85,-8661,-1632,2387
-8588,-2896,2608,-13973,-1509,13732,-66,-237,-94,-8649,-1843,2424
-8388,-3204,2696,-12666,-105,11286,-51,-226,-109,-8612,-2037,2462
-8268,-3344,2820,-11006,5063,7584,-50,-223,-107,-8569,-2201,2507
-8064,-3188,2932,-8437,10596,3093,-37,-220,-117,-8512,-2310,2554
-7408,-2772,3112,-4907,13969,-2298,-37,-220,-117,-8402,-2356,2610
-4324,-1188,3004,-9442,12643,-5343,-38,-216,-175,-8057,-2432,2721
-2764,-896,3028,-10953,14192,-3066,-28,-219,-182,-7422,-2382,2784
-3908,-3168,3164,1047,13136,7706,-28,-219,-182,-6895,-2517,2848
-12964,-7400,3848,6020,-1388,25914,-40,-212,-220,-7328,-3050,2980
-21788,-8628,4304,-24419,3175,22278,-25,-189,-215,-8646,-3668,3151
-20472,-9388,3232,-15067,7895,-4613,-22,-173,-220,-9834,-4317,3214
-8904,-4948,1712,24666,11748,-29529,-12,-150,-247,-9886,-4492,3115
-572,-552,1128,32767,16088,-32768,-12,-150,-247,-9116,-4212,2946
584,808,908,22540,-7483,-900,-38,-208,-234,-8252,-3813,2744
-2900,4,900,-26274,-26291,18145,-61,-234,-209,-7801,-3535,2522
-10920,-4696,1588,-19500,-21191,19456,-41,-226,-209,-8460,-3886,2381
-16520,-6092,2672,28851,-7546,6630,-41,-226,-209,-9836,-4406,2345
-18140,-4524,3532,30148,8047,-1582,-21,-203,-182,-11259,-4541,2382
-12252,-456,2928,26814,-5986,-14507,-20,-202,-164,-11188,-3847,2290
-4824,2708,1268,8473,-25393,-6978,-36,-216,-136,-9492,-2713,1986
-1752,3660,-56,-13214,-25922,9968,-36,-216,-136,-7620,-1408,1658
-2656,1800,-452,-6592,-16629,18357,-31,-208,-109,-6995,-734,1441
-6144,-480,-184,14884,-4578,18074,-28,-203,-104,-7552,-726,1310
-8908,-1820,400,23568,1322,16290,-32,-176,-83,-8501,-989,1259
-10200,-2680,672,17248,-3771,15044,-25,-160,-73,-9231,-1258,1236
-9160,-2772,420,-6305,-16293,15845,3,-128,-57,-9055,-1065,1120
-10028,-3500,260,-10618,-343,20888,-1,-120,-38,-8406,-806,878
-10612,-4176,556,17345,-2039,14487,-13,-102,-35,-7653,-771,581
-9220,-2864,408,10747,5402,9101,-2,-88,-39,-7350,-1012,329
-7716,-2320,468,-5215,9308,3456,-2,-88,-39,-7639,-1515,249
-5828,-1304,368,-2228,4035,3063,16,-68,-45,-8047,-2011,291
-5588,-912,212,-7000,7710,5050,16,-68,-45,-8340,-2282,358
-6620,-1000,604,-9862,11040,5371,17,-54,-49,-8388,-2334,436
-6628,-896,968,-5299,9533,2878,27,-54,-68,-8160,-2242,493
-4480,1660,932,-9064,12801,-6715,36,-42,-87,-7588,-1808,519
-864,2764,828,4948,1062,-821,36,-42,-87,-6758,-1254,560
-1640,3356,1096,-25936,6219,-2727,36,-76,-101,-5919,-569,644
-3588,1348,1888,-23055,10848,-9512,21,-76,-111,-5217,-16,777
-6908,44,2912,4834,13099,-4096,26,-94,-118,-4986,274,1027
-9868,-580,3632,3661,7116,-3918,26,-94,-118,-5201,448,1344
-11672,-1368,3924,-20149,1055,-2953,35,-95,-142,-5785,441,1699
-12712,-2332,4068,-24132,-1658,-5567,28,-94,-155,-6498,299,2085
-12956,-2328,3968,-8960,-50,-10219,33,-99,-150,-7131,166,2421
-12416,-1320,4208,-472,3670,-11832,27,-114,-161,-7710,124,2745
-10976,4,4100,-3570,698,-14324,27,-114,-161,-8360,-41,3062
-8724,1324,3704,-11974,-1358,-10302,13,-154,-160,-9146,-185,3350
-8444,1444,3648,-5060,1230,-5086,11,-164,-172,-9826,-376,3605
-9484,1064,3636,1715,1766,266,12,-168,-166,-10416,-404,3780
-10328,924,3792,-755,141,2196,12,-168,-166,-10758,-316,3868
-9716,848,3528,-4499,-3177,2677,20,-160,-166,-10742,-174,3857
-8616,716,3420,-2899,-2452,5906,11,-167,-168,-10437,34,3807
-7560,1100,3284,4290,-1839,5871,15,-153,-176,-9922,377,3728
-6648,1192,2932,4542,-1430,8765,15,-153,-176,-9291,729,3625
-6516,664,2940,1329,-4395,13136,20,-134,-161,-8701,928,3498
-7264,-340,2844,-344,-6705,14506,25,-134,-152,-8330,893,3372
-8044,-1488,2848,916,-6985,12312,28,-110,-155,-8262,612,3287
-7732,-1760,2608,2183,-7113,8921,32,-106,-142,-8190,292,3183
-7196,-1840,2448,992,-5629,6923,42,-77,-139,-7962,1,3064
-6984,-1848,2304,2897,-5261,5854,36,-68,-126,-7627,-275,2915
-6772,-1944,2184,3102,-5516,3779,31,-71,-116,-7333,-554,2781
-7252,-2040,2252,169,-5113,2025,35,-59,-107,-7196,-830,2664
-7192,-1920,2152,-752,-6660,-1677,35,-59,-107,-7160,-1132,2551
-6188,-1200,1924,-2251,-7848,-6364,35,-62,-107,-7114,-1371,2450
-5632,-624,1612,-4027,-8124,-7019,38,-60,-94,-7025,-1500,2317
-6620,-944,1812,-5984,-5285,-4496,22,-70,-83,-6961,-1560,2214
