averaged_x,averaged_y,averaged_z,weighted_mean_x,weighted_mean_y,weighted_mean_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-8402.4,-2356.8,2610.4,-8434.8212890625,-3283.851806640625,2633.35546875,-13973.0,-1509.0,13732.0,-66.0,-237.0,-94.0
-8057.2,-2432.0,2721.2,-8425.29296875,-2462.75732421875,2694.208740234375,-12666.0,-105.0,11286.0,-51.0,-226.0,-109.0
-7422.8,-2382.8,2784.0,-8124.421875,-2513.793701171875,2772.5791015625,-11006.0,5063.0,7584.0,-50.0,-223.0,-107.0
-6895.2,-2517.2,2848.4,-7562.90576171875,-2730.632568359375,2855.8134765625,-8437.0,10596.0,3093.0,-37.0,-220.0,-117.0
-7328.0,-3050.4,2980.4,-7451.0439453125,-2825.29296875,2924.462158203125,-4907.0,13969.0,-2298.0,-37.0,-220.0,-117.0
-8646.4,-3668.4,3151.6,-7572.69970703125,-2835.632568359375,3013.15234375,-9442.0,12643.0,-5343.0,-38.0,-216.0,-175.0
-9834.8,-4317.6,3214.0,-7563.97119140625,-3632.115966796875,3070.12646484375,-10953.0,14192.0,-3066.0,-28.0,-219.0,-182.0
-9886.4,-4492.0,3115.6,-8361.458984375,-3979.287353515625,3113.50830078125,1047.0,13136.0,7706.0,-28.0,-219.0,-182.0
-9116.8,-4212.8,2946.4,-7639.87646484375,-3859.827392578125,3089.61181640625,6020.0,-1388.0,25914.0,-40.0,-212.0,-220.0
-8252.0,-3813.2,2744.0,-6684.34130859375,-3586.3515625,2935.87939453125,-24419.0,3175.0,22278.0,-25.0,-189.0,-215.0
-7801.2,-3535.6,2522.8,-5922.73876953125,-3134.028564453125,2633.537841796875,-15067.0,7895.0,-4613.0,-22.0,-173.0,-220.0
-8460.8,-3886.4,2381.2,-6807.240234375,-3658.345703125,2343.549072265625,24666.0,11748.0,-29529.0,-12.0,-150.0,-247.0
-9836.4,-4406.0,2345.6,-8508.9970703125,-4250.4189453125,2274.63134765625,32767.0,16088.0,-32768.0,-12.0,-150.0,-247.0
-11259.6,-4541.6,2382.4,-11890.3974609375,-4882.57177734375,2284.873046875,22540.0,-7483.0,-900.0,-38.0,-208.0,-234.0
-11188.4,-3847.2,2290.4,-11737.533203125,-3783.714599609375,2226.181640625,-26274.0,-26291.0,18145.0,-61.0,-234.0,-209.0
-9492.0,-2713.6,1986.8,-9391.7080078125,-3320.18896484375,2071.811279296875,-19500.0,-21191.0,19456.0,-41.0,-226.0,-209.0
-7620.0,-1408.8,1658.0,-8287.7880859375,-2185.21337890625,1534.53564453125,28851.0,-7546.0,6630.0,-41.0,-226.0,-209.0
-6995.2,-734.0,1441.6,-5838.244140625,-723.3984985351562,1345.59326171875,30148.0,8047.0,-1582.0,-21.0,-203.0,-182.0
-7552.4,-726.8,1310.4,-6349.861328125,-266.53656005859375,1280.0089111328125,26814.0,-5986.0,-14507.0,-20.0,-202.0,-164.0
-8501.6,-989.6,1259.6,-7361.50244140625,-621.6063842773438,1142.8770751953125,8473.0,-25393.0,-6978.0,-36.0,-216.0,-136.0
-9231.6,-1258.0,1236.8,-8569.13671875,-1324.69189453125,1066.579833984375,-13214.0,-25922.0,9968.0,-36.0,-216.0,-136.0
-9055.6,-1065.6,1120.0,-8731.833984375,-1145.4046630859375,905.2566528320312,-6592.0,-16629.0,18357.0,-31.0,-208.0,-109.0
-8406.4,-806.4,878.8,-8435.994140625,-1121.1666259765625,628.1763305664062,14884.0,-4578.0,18074.0,-28.0,-203.0,-104.0
-7653.6,-771.6,581.2,-8341.556640625,-1120.0535888671875,472.17193603515625,23568.0,1322.0,16290.0,-32.0,-176.0,-83.0
-7350.4,-1012.4,329.2,-8126.39990234375,-1564.786865234375,372.8175048828125,17248.0,-3771.0,15044.0,-25.0,-160.0,-73.0
-7639.6,-1515.2,249.2,-8319.294921875,-1881.3140869140625,333.44140625,-6305.0,-16293.0,15845.0,3.0,-128.0,-57.0
-8047.2,-2011.6,291.6,-8319.03515625,-2304.754150390625,368.64398193359375,-10618.0,-343.0,20888.0,-1.0,-120.0,-38.0
-8340.4,-2282.8,358.0,-8378.9990234375,-2199.293212890625,393.5964050292969,17345.0,-2039.0,14487.0,-13.0,-102.0,-35.0
-8388.0,-2334.8,436.8,-8607.16015625,-2329.19287109375,432.2737121582031,10747.0,5402.0,9101.0,-2.0,-88.0,-39.0
-8160.0,-2242.4,493.6,-8413.0712890625,-2315.66162109375,437.592041015625,-5215.0,9308.0,3456.0,-2.0,-88.0,-39.0
-7588.0,-1808.4,519.6,-7965.12548828125,-1924.856201171875,451.8873291015625,-2228.0,4035.0,3063.0,16.0,-68.0,-45.0
-6758.4,-1254.8,560.4,-7303.98095703125,-1800.7427978515625,528.6312255859375,-7000.0,7710.0,5050.0,16.0,-68.0,-45.0
-5919.6,-569.2,644.0,-6564.7216796875,-872.1168823242188,624.503662109375,-9862.0,11040.0,5371.0,17.0,-54.0,-49.0
-5217.2,-16.8,777.2,-5741.59716796875,-258.998046875,636.143798828125,-5299.0,9533.0,2878.0,27.0,-54.0,-68.0
-4986.0,274.0,1027.6,-5485.12109375,44.81065368652344,833.6787109375,-9064.0,12801.0,-6715.0,36.0,-42.0,-87.0
-5201.2,448.0,1344.0,-5324.3095703125,146.28240966796875,1051.589599609375,4948.0,1062.0,-821.0,36.0,-42.0,-87.0
-5785.6,441.6,1699.6,-5355.55615234375,143.40733337402344,1405.8282470703125,-25936.0,6219.0,-2727.0,36.0,-76.0,-101.0
-6498.0,299.6,2085.2,-5783.6494140625,89.19918823242188,1570.839599609375,-23055.0,10848.0,-9512.0,21.0,-76.0,-111.0
-7131.6,166.8,2421.6,-6509.330078125,6.0010986328125,2410.7138671875,4834.0,13099.0,-4096.0,26.0,-94.0,-118.0
-7710.4,124.4,2745.6,-7546.46826171875,-53.662384033203125,2937.0498046875,3661.0,7116.0,-3918.0,26.0,-94.0,-118.0
-8360.0,-41.2,3062.4,-8828.7958984375,-332.32208251953125,3166.4853515625,-20149.0,1055.0,-2953.0,35.0,-95.0,-142.0
-9146.0,-185.2,3350.0,-9510.470703125,-297.4718017578125,3662.602783203125,-24132.0,-1658.0,-5567.0,28.0,-94.0,-155.0
-9826.4,-376.4,3605.2,-10282.26171875,-276.9163818359375,3794.9404296875,-8960.0,-50.0,-10219.0,33.0,-99.0,-150.0
-10416.0,-404.8,3780.0,-10256.078125,-374.484619140625,3835.318603515625,-472.0,3670.0,-11832.0,27.0,-114.0,-161.0
-10758.0,-316.8,3868.0,-10744.4345703125,-330.2613525390625,3835.474853515625,-3570.0,698.0,-14324.0,27.0,-114.0,-161.0
-10742.8,-174.0,3857.6,-10721.572265625,27.860511779785156,3852.650390625,-11974.0,-1358.0,-10302.0,13.0,-154.0,-160.0
-10437.2,34.4,3807.2,-10225.158203125,405.9846496582031,3791.810302734375,-5060.0,1230.0,-5086.0,11.0,-164.0,-172.0
-9922.0,377.6,3728.8,-9668.72265625,746.5884399414062,3755.85791015625,1715.0,1766.0,266.0,12.0,-168.0,-166.0
-9291.2,729.6,3625.2,-9198.224609375,949.9293212890625,3627.909423828125,-755.0,141.0,2196.0,12.0,-168.0,-166.0
-8701.2,928.0,3498.4,-8760.96484375,984.3028564453125,3534.051513671875,-4499.0,-3177.0,2677.0,20.0,-160.0,-166.0
-8330.0,893.6,3372.8,-8351.00390625,991.3853149414062,3427.975341796875,-2899.0,-2452.0,5906.0,11.0,-167.0,-168.0
-8262.0,612.4,3287.2,-8252.712890625,957.1134033203125,3301.403076171875,4290.0,-1839.0,5871.0,15.0,-153.0,-176.0
-8190.8,292.0,3183.2,-8106.78564453125,625.1495361328125,3163.7900390625,4542.0,-1430.0,8765.0,15.0,-153.0,-176.0
-7962.0,1.6,3064.4,-7847.0302734375,278.8786926269531,3108.52490234375,1329.0,-4395.0,13136.0,20.0,-134.0,-161.0
-7627.6,-275.6,2915.6,-7604.7861328125,96.7701187133789,2987.656494140625,-344.0,-6705.0,14506.0,25.0,-134.0,-152.0
-7333.2,-554.8,2781.2,-7381.9501953125,-657.613037109375,2858.150634765625,916.0,-6985.0,12312.0,28.0,-110.0,-155.0
-7196.8,-830.4,2664.4,-7174.41943359375,-1124.051513671875,2666.3564453125,2183.0,-7113.0,8921.0,32.0,-106.0,-142.0
-7160.0,-1132.4,2551.2,-7119.15234375,-1497.782470703125,2545.6240234375,992.0,-5629.0,6923.0,42.0,-77.0,-139.0
-7114.0,-1371.6,2450.4,-7118.11767578125,-1502.046142578125,2427.4345703125,2897.0,-5261.0,5854.0,36.0,-68.0,-126.0
-7025.6,-1500.4,2317.6,-7118.74951171875,-1660.4349365234375,2321.24462890625,3102.0,-5516.0,3779.0,31.0,-71.0,-116.0
